"tr";"mese";"annrif";"progind";"sesso";"eta10";"staciv4";"pnasc";"reg";"rip";"istr4";"condogg";"posiz4";"ateco3";"cond4";"ORARIO";"RAPP";"CODPROF7";"progvia";"TIPOVGG";"DEST_RE";"DEST_PR";"DEST_IE";"GGINIZ";"MMINIZ";"AAINIZ";"DURATA";"MOTVAC";"MEZZO";"ALLOG";"MOTLAV";"ORGALL";"ORGTRA";"ALPART";"IORGALL";"IORGTRA";"TIPOMARE";"TIPOCROC";"TIPOMONT";"TIPOCITTA";"TIPOCAMP";"TIPOALTRO";"W";"COEV";"TRIM";"npart";"tipo";"ESPE_CO";"ESPE_GIO";"piattall1";"piattall2";"piattall3"
3;12;2019;572;2;3;1;1;40;2;4;1;1;3;1;1;2;2;1;"L1219";20;111;1;25;12;2019;5;NA;1;4;12;3;1;2;NA;1;NA;NA;NA;NA;NA;NA;1735.1786909;5205.5360726;4;1;NA;830;166;NA;NA;NA
3;12;2019;572;2;3;1;1;40;2;4;1;1;3;1;1;2;2;2;"V1219";5;23;1;3;12;2019;2;1;5;1;NA;2;3;2;1;NA;2;2;2;1;2;2;1735.1786909;5205.5360726;4;1;7;478;239;1;2;2
3;2;2019;580;2;8;4;1;130;4;4;3;1;3;4;NA;NA;2;1;"V0219";3;15;1;16;2;2019;2;1;2;1;NA;2;2;2;2;2;2;2;2;1;2;1;8641.577161;25924.731483;1;1;1;250;125;NA;NA;NA
3;2;2019;582;1;2;1;1;30;1;3;3;NA;NA;3;NA;NA;NA;1;"V0219";3;14;1;1;2;2019;3;1;5;13;NA;3;3;1;NA;NA;2;2;1;2;2;2;9301.5206209;27904.561863;1;4;5;63;21;NA;NA;NA
3;2;2019;583;1;7;2;1;10;1;3;3;1;3;4;NA;NA;4;1;"V0219";7;9;1;24;2;2019;3;1;5;1;NA;3;3;1;NA;NA;1;2;2;2;2;2;5056.6059382;15169.817815;1;2;2;282;94;NA;NA;NA
3;2;2019;583;1;7;2;1;10;1;3;3;1;3;4;NA;NA;4;2;"V0219";7;9;1;16;2;2019;1;1;5;1;NA;3;3;2;NA;NA;1;2;2;2;2;2;5056.6059382;15169.817815;1;1;2;171;171;NA;NA;NA
3;7;2019;614;2;4;2;1;100;3;3;1;4;3;1;NA;NA;4;1;"V0719";8;99;1;11;7;2019;4;1;5;1;NA;1;3;1;1;NA;1;2;2;2;2;2;2578.1570122;7734.4710365;3;4;7;211;53;2;2;2
3;4;2019;631;1;1;1;1;100;3;1;NA;NA;NA;NA;NA;NA;NA;1;"V0419";8;99;1;19;4;2019;2;1;5;1;NA;1;3;1;2;NA;1;2;2;2;2;2;3999.7919317;11999.375795;2;3;2;104;52;NA;NA;NA
3;10;2019;635;2;7;2;1;70;1;4;1;3;3;1;NA;NA;2;1;"V1019";3;17;1;10;10;2019;2;1;5;1;NA;1;3;1;2;NA;2;2;2;1;2;2;1563.8459206;4691.5377617;4;2;7;290;145;NA;NA;NA
3;10;2019;635;2;7;2;1;70;1;4;1;3;3;1;NA;NA;2;2;"V1019";500;NA;2;27;10;2019;4;1;1;13;NA;3;1;1;NA;1;1;2;2;2;2;2;1563.8459206;4691.5377617;4;2;7;900;225;NA;NA;NA
